code,mkt,name,sectors,biz,latest_report,latest_notice,q1_revenue_yi,q1_np_yi,q1_rev_yoy_pct,q1_np_yoy_pct,ann_report,ann_revenue_yi,ann_np_yi,ann_rev_yoy_pct,ann_np_yoy_pct,roe_pct,gross_margin_pct,debt_asset_pct,ocf_np_ratio,ocf_rev_ratio,roic_pct,eps,price,pct_day,turnover_rate,pe_ttm,mkt_cap_yi,float_mkt_cap_yi,time,shares_total,last_date,r30_pct,r90_pct,avg30_amount_yi_est,quality_score
301012,SZ,扬电科技,变压器,节能电力变压器、铁心等配电侧设备,2026一季报,2026-04-28 00:00:00,3.8842049245,0.20552394670000002,18.691887053319,36.092648700167,2025年报,12.790479081800001,0.39292488509999995,-4.070252442017,-44.14284122558,3.39,10.5038313108,23.6615954079,4.681137198983,0.148043304632,3.000786150935,0.1995,22.32,-3.13,2.32,98.25,43.96,43.96,20260708161409,196960162.0,2026-07-08,-38.916256157635466,-24.899057873485862,2.4659942293333335,1.6
301120,SZ,新特电气,变压器,变频用变压器、电抗器、特种变压器,2026一季报,2026-04-24 00:00:00,1.2619865915000001,-0.0187706285,43.136475433485,-120.540777805213,2025年报,4.2113607344,0.4302078904,11.701345232228,188.681423714921,2.82,22.5555412278,9.4128414596,-0.158357891563,-0.015564358205,2.522107132134,0.12,14.9,-4.49,3.3,173.71,55.6,32.81,20260708161454,373125855.0,2026-07-08,-34.64912280701754,-34.02993004516072,4.358083461333334,-2.1
000533,SZ,顺钠股份,变压器;配电,变压器及成套设备,2026一季报,2026-04-30 00:00:00,4.91965314,0.1691401448,1.125527941043,-13.279231200462,2025年报,22.3904104727,1.0194944812,-7.461153335252,8.396372888579,11.1,20.9931478511,60.9154855084,2.470933847654,0.156145991618,12.021105314974,0.1476,8.61,-2.93,2.51,59.86,59.48,58.97,20260708161442,690816000.0,2026-07-08,-27.280405405405407,-25.647668393782386,3.1738150333333333,2.3
603530,SH,神马电力,高压开关;GIS,电力外绝缘，特高压相邻关键部件,2026一季报,2026-04-28 00:00:00,3.8090436925,0.9827458802,33.545658559898,44.074108795242,2025年报,17.206990654600002,4.3167732893,27.943375192041,38.92375986233,24.28,46.1765652577,31.8408516597,0.271547668418,0.068124040126,20.934692507001,1.02,49.14,-2.54,0.58,45.94,212.13,210.06,20260708161448,431684575.0,2026-07-08,-12.748579545454541,-0.5061753391374824,1.881194536,5.6
300617,SZ,安靠智电,高压开关;GIS,GIL、地下输电、电缆连接件,2026一季报,2026-04-29 00:00:00,2.1273240762,0.4891871383,30.613553673114,11.899466213046,2025年报,8.2724966724,0.7359603670999999,-23.758595980825,-59.862644169727,2.53,34.6772518854,25.6846548867,3.397217083884,0.293179050781,2.481241525237,0.4477,47.22,-7.08,4.42,99.3,78.25,65.6,20260708161445,165707664.0,2026-07-08,-23.678681105543887,-18.162911611785105,5.233439527,1.4
002879,SZ,长缆科技,配电,电缆附件、输配电连接件,2026一季报,2026-04-28 00:00:00,2.7454559708999997,0.013550298600000002,2.043900402538,-44.856738787159,2025年报,14.4037323157,1.3376442855,15.965418841719,79.112025493375,7.56,30.8958330088,27.9816981107,0.929777249532,0.096953809172,7.349530268329,0.78,12.98,-2.41,3.09,18.89,25.07,17.8,20260708161415,193107640.0,2026-07-08,-20.024645717806532,-41.18979656562911,0.6755631923333334,3.5
002498,SZ,汉缆股份,配电,电力电缆、输电配套,2026一季报,2026-04-29 00:00:00,25.5172625376,1.6038736968,39.371546668973,12.171224196237,2025年报,104.0712322592,5.5345403224,12.391152123997,-15.519926329167,6.51,14.012489625,28.8347567286,1.135186477343,0.059768696052,5.193708464027,0.1664,5.98,-3.24,1.62,34.85,198.94,198.94,20260708161418,3326796000.0,2026-07-08,-32.276330690826725,-26.7156862745098,6.064169283,4.5
600973,SH,宝胜股份,配电,电线电缆、输配电配套,2026一季报,2026-04-30 00:00:00,165.0873276324,0.4965588118,37.010737095995,119.254109669285,2025年报,479.5874757299,-0.43888446130000003,3.448447632095,85.363799387825,-1.25,4.2175549383,79.4378789157,,0.016928885296,2.020345753844,-0.03,6.3,0.48,1.41,-511.82,86.4,86.4,20260708161443,1371366248.0,2026-07-08,-12.256267409470755,-14.634146341463417,3.465290723333333,-3.2
300062,SZ,中能电气,配电,箱变、电缆附件、光储充相关,2026一季报,2026-04-25 00:00:00,2.3905331651,0.028036014300000002,11.251284175757,121.002761063093,2025年报,11.5710462855,-0.9345757353,0.835839954279,-20.549295122541,-7.71,18.6927356648,48.3012527456,,-0.018565684139,-4.143124336206,-0.17,5.32,-2.21,2.32,-43.35,33.51,24.38,20260708161442,629937370.0,2026-07-08,-26.111111111111107,-40.82313681868743,1.002406533,-1.2
300477,SZ,ST合纵,配电,配网设备+锂电材料,2026一季报,2026-04-29 00:00:00,2.8842237647,-0.36854141520000006,-15.175376573429,-15.769979254931,2025年报,16.6313547874,-8.9462786383,-37.236074412904,-41.723316449639,-157.77,-2.0285523339,120.9491304219,,0.08839537286,-43.374970577474,-0.8345,2.31,0.87,1.4,-2.75,24.76,22.89,20260708161442,1072018687.0,2026-07-08,-15.384615384615385,-25.0,0.653121724,-5.4
002339,SZ,积成电子,配电,配电自动化、调度自动化、电力信息化,2026一季报,2026-04-29 00:00:00,4.4506593979,-0.7337982351000001,20.918054772546,-19.585586924563,2025年报,30.8274981862,0.2016243919,18.657895328283,-36.197160775692,1.11,24.3617071938,50.3866100579,1.991247025202,0.034849207228,2.526916059653,0.04,6.56,-1.2,2.01,406.03,33.07,31.4,20260708161454,504092274.0,2026-07-08,-26.70391061452514,-45.87458745874587,0.9980464353333333,-0.4
002090,SZ,金智科技,配电,电力自动化、智慧能源、配网信息化,2026一季报,2026-04-29 00:00:00,3.2784093075,0.2186413109,5.260039074569,42.932176691569,2025年报,15.610051970299999,0.6602136977,-11.968939450597,-8.64272363635,4.32,27.5371302772,51.2714010243,1.992187778018,0.083734293818,3.119973673883,0.1648,9.09,-0.87,2.43,50.16,36.41,36.2,20260708161500,400577071.0,2026-07-08,-16.336861481822375,-27.48304746709215,0.9062136766666666,2.6
300222,SZ,科大智能,配电,智能配用电、工业智能化,2026一季报,2026-04-18 00:00:00,5.8548972458,0.2722466619,-9.681032017425,29.428442651346,2025年报,30.6257011843,0.8077268179000001,11.832916879003,15.33144456294,4.79,22.6466634686,60.868612486,2.297082380027,0.064252521908,4.429925256,0.1,11.83,0.77,8.78,105.87,92.07,74.98,20260708161412,778281234.0,2026-07-08,-28.605914302957146,-2.9532403609515923,8.644394331,0.3
