报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,销售毛利率,净资产收益率,净资产收益率-摊薄,营业周期,存货周转率,存货周转天数,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
2023-03-31,3.30亿,7.68%,2.77亿,3.14%,22.13亿,33.42%,0.4000,21.62,16.83,3.33,-0.38,14.71%,50.26%,1.87%,1.85%,382.29,0.30,298.71,83.59,3.52,2.77,2.75,0.36,26.51%
2023-06-30,9.38亿,21.19%,7.87亿,14.44%,52.71亿,26.35%,1.1400,22.19,16.85,3.87,-0.62,17.83%,48.71%,5.22%,5.13%,327.64,0.72,250.80,76.84,3.63,2.81,2.80,0.34,25.56%
2023-09-30,10.64亿,18.41%,8.29亿,15.11%,74.32亿,26.86%,1.2900,21.83,16.87,4.03,-1.02,14.34%,48.67%,5.92%,5.91%,362.92,0.97,278.87,84.05,3.55,2.66,2.65,0.35,25.80%
2023-12-31,19.74亿,19.21%,16.65亿,25.38%,114.11亿,23.52%,2.4000,22.89,16.88,5.13,0.16,17.33%,48.48%,10.79%,10.46%,307.84,1.60,225.17,82.67,3.49,2.74,2.73,0.34,25.48%
2024-03-31,3.63亿,10.20%,3.00亿,8.52%,23.50亿,6.22%,0.4400,23.33,16.90,5.57,-0.80,15.40%,49.57%,1.91%,1.89%,440.83,0.29,308.32,132.51,3.63,2.76,2.75,0.32,23.98%
2024-06-30,9.50亿,1.33%,7.98亿,1.39%,53.33亿,1.18%,1.1600,23.77,16.94,6.03,-0.76,17.71%,50.37%,4.93%,4.85%,418.14,0.63,285.81,132.33,3.20,2.41,2.40,0.36,26.52%
2024-09-30,6.71亿,-36.94%,4.64亿,-44.00%,69.54亿,-6.43%,0.8200,23.33,16.98,5.57,-1.83,9.47%,49.41%,3.52%,3.49%,503.20,0.75,359.81,143.39,3.16,2.17,2.16,0.35,26.10%
2024-12-31,12.62亿,-36.08%,10.10亿,-39.32%,103.00亿,-9.73%,1.5400,24.15,16.92,6.29,-0.75,12.06%,48.54%,6.53%,6.34%,452.55,1.13,319.97,132.58,2.95,2.07,2.06,0.41,29.00%
2025-03-31,3.70亿,1.87%,3.79亿,26.09%,24.78亿,5.42%,0.4500,24.61,16.94,6.74,-0.43,14.75%,49.94%,1.84%,1.82%,591.39,0.21,423.13,168.26,2.82,1.90,1.89,0.42,29.69%
2025-06-30,9.98亿,5.03%,9.66亿,21.01%,60.16亿,12.79%,1.2100,25.23,16.88,7.42,0.06,16.42%,47.93%,4.90%,4.80%,471.30,0.55,330.09,141.21,3.07,2.06,2.05,0.38,27.52%
2025-09-30,11.20亿,66.91%,10.53亿,126.94%,88.59亿,27.39%,1.3600,25.25,16.89,7.44,0.13,12.44%,47.02%,5.50%,5.38%,484.56,0.80,338.73,145.83,2.88,1.91,1.91,0.43,30.08%
2025-12-31,18.69亿,48.14%,17.70亿,75.18%,138.00亿,33.98%,2.2800,26.17,16.93,8.35,3.25,13.36%,47.01%,9.00%,8.67%,406.86,1.30,277.09,129.77,2.46,1.76,1.75,0.52,34.23%
2026-03-31,3.99亿,7.78%,3.72亿,-1.75%,29.08亿,17.34%,0.4800,26.65,16.98,8.83,-1.16,13.50%,47.16%,1.83%,1.82%,537.01,0.25,361.88,175.13,2.47,1.64,1.64,0.51,33.97%
