code,market,ticker,name,bottleneck_theme,price,pct_chg,pe_ttm_or_dynamic,turnover_rate,high,low,circulating_mcap_yi,total_mcap_yi,pb,timestamp,report_date,notice_date,revenue,revenue_yoy_pct,parent_np,np_yoy_pct,gross_profit,eps,roe_pct,revenue_yi,parent_np_yi,ps_static
600378,SH,600378.SH,昊华科技,含氟材料/特气,62.51,-4.67,51.44,6.1,66.69,61.0,670.46,806.38,4.46,20260708161439,2025年报,2026-04-24 00:00:00,16688996654.92,19.494682541953,1444467040.45,37.072699286452,4214019857.65,1.1198,8.19,166.8899665492,14.4446704045,4.83180634925872
300395,SZ,300395.SZ,菲利华,石英材料/半导体,102.53,-3.41,111.87,3.79,107.77,100.49,525.51,539.03,10.62,20260708161448,2025年报,2026-04-24 00:00:00,2016348883.02,15.761606533738,443181969.44,41.044691022617,955276600.52,0.8513,10.15,20.1634888302,4.4318196944,26.732972876829937
002080,SZ,002080.SZ,中材科技,复材/高压气瓶/叶片,72.74,-2.1,62.18,2.73,78.69,72.06,1220.67,1220.67,6.19,20260708161451,2025年报,2026-03-20 00:00:00,30195487692.29,25.899251757243,1817776776.61,103.816974942648,5716510923.99,1.0832,9.49,301.9548769229,18.1777677661,4.042557657751232
002246,SZ,002246.SZ,北化股份,硝化棉/含能材料,17.49,-2.94,31.4,,,,,96.03,3.09,20260708161500,2025年报,,2750445726.33,41.262331530564,263023373.32,1029.21799917175,,,,27.5044572633,2.6302337332,3.4914341003243727
002226,SZ,002226.SZ,江南化工,民爆/工业炸药,4.55,-0.66,16.38,,,,,120.53,1.27,20260708161430,2025年报,,9981605095.51,0.195885599349,757548587.74,-18.022005198029,,,,99.8160509551,7.5754858774,1.207521223758068
002683,SZ,002683.SZ,广东宏大,矿服民爆/防务装备,28.6,-2.32,22.47,,,,,217.33,3.25,20260708161451,2025年报,,20369059705.04,49.203485757187,957184117.73,6.618375422117,,,,203.69059705040002,9.5718411773,1.0669613774376887
603977,SH,603977.SH,国泰集团,民爆/电子雷管,13.02,-5.79,32.47,,,,,80.89,2.39,20260708161454,2025年报,,2360639807.24,0.26107355401,252224399.49,39.546590839764,,,,23.606398072399998,2.5222439949,3.4266134016681917
002783,SZ,002783.SZ,凯龙股份,民爆/硝酸铵,7.13,-0.42,30.67,,,,,35.6,1.36,20260708161427,2025年报,,3544062429.99,-3.853290548134,142417411.44,-3.873902302551,,,,35.440624299899994,1.4241741144,1.0044969777832176
002827,SZ,002827.SZ,高争民爆,民爆,22.9,-2.59,33.42,,,,,63.44,6.1,20260708161412,2025年报,,1827479738.68,7.987004450775,198010769.83,33.639279550099,,,,18.2747973868,1.9801076983,3.4714475163387095
603227,SH,603227.SH,雪峰科技,民爆/硝酸铵,7.09,0.14,15.65,,,,,75.98,1.5,20260708161459,2025年报,,5563814680.23,-8.807860706975,503671351.53,-24.648849507598,,,,55.63814680229999,5.0367135153,1.3656098264735717
600549,SH,600549.SH,厦门钨业,钨/稀土/材料,63.49,-4.41,33.23,,,,,1007.96,5.71,20260708161441,2025年报,,46264582688.14,30.791260252247,2309374213.97,34.888714212238,,,,462.6458268814,23.093742139699998,2.178686030293303
000657,SZ,000657.SZ,中钨高新,钨硬质合金,73.95,-3.76,86.46,,,,,1685.03,16.58,20260708161436,2025年报,,17638510948.37,19.344480774895,1280667298.04,29.197482334581,,,,176.38510948369998,12.8066729804,9.553130674875456
002155,SZ,002155.SZ,湖南黄金,锑/黄金,22.91,-0.65,20.44,,,,,358.0,4.34,20260708161457,2025年报,,50181265325.14,80.258281935176,1487994929.97,75.772983885744,,,,501.8126532514,14.8799492997,0.7134136568307053
601020,SH,601020.SH,华钰矿业,锑/有色,21.02,-2.55,20.14,,,,,172.36,4.01,20260708161448,2025年报,,2070622505.07,28.305371563476,870733068.99,243.725475793288,,,,20.7062250507,8.707330689900001,8.324066775956014
600111,SH,600111.SH,北方稀土,稀土,46.02,-3.01,60.75,,,,,1663.65,6.62,20260708161450,2025年报,,42563083233.34,29.110831359205,2251272073.68,124.168456389819,,,,425.63083233339995,22.5127207368,3.9086689065251976
000831,SZ,000831.SZ,中国稀土,稀土,48.66,-4.1,216.5,,,,,516.39,10.5,20260708161406,2025年报,,3182090218.84,5.111470531018,172576348.02,160.150591780447,,,,31.8209021884,1.7257634802000001,16.22801254793602
300748,SZ,300748.SZ,金力永磁,稀土永磁,29.7,-6.28,55.37,,,,,408.55,5.54,20260708161418,2025年报,,7717521714.96,14.109001621754,705606447.34,142.440587871333,,,,77.1752171496,7.0560644734,5.2937978678835185
