selection_rank,global_rank,code,name,exchange,industry,result,secondary_scope,decision,decision_reason,price,pe_ttm,pb,market_cap_yi,change_pct,turnover_pct,roe_avg_10,gross_margin_avg_5,ocf_ni_avg_5,net_margin_avg_10,fcf_5_total_yi,fcf_to_market_cap_5y,share_inflation_5,quality_score,valuation_score,composite_score,price_cross_check,quote_timestamp,moat_rating,moat_basis
,54,001210,金房能源,SZ,电力,通过,保留,淘汰,综合得分未进入前30,18.86,7.8,2.89,41.4048189,2.5,2.72,15.144,23.91124,5.374659,11.201346,4.0704081648,0.09830759,0.0,49,28,77,一致,20260804135709,待评,未进入30家初评队列
,169,001216,华瓷股份,SZ,家居用品,通过,保留,淘汰,综合得分未进入前30,13.91,23.22,1.65,40.61140482,0.36,0.46,15.793,32.286803,1.374862,12.098342,4.2946952925,0.10575097,0.0,48,22,70,一致,20260804135703,待评,未进入30家初评队列
,276,001219,青岛食品,SZ,休闲食品,通过,保留,淘汰,综合得分未进入前30,12.42,19.21,2.32,24.21698175,-1.04,0.86,13.535,33.990679,0.951488,15.616544,4.0775466689,0.16837551,0.0,43,22,65,一致,20260804135709,待评,未进入30家初评队列
,452,001277,速达股份,SZ,专用设备,通过,保留,淘汰,综合得分未进入前30,28.0,37.03,1.38,21.28,-0.11,1.51,18.641,24.942984,0.788995,12.176279,0.7078004079000001,0.0332613,0.0,39,16,55,一致,20260804135706,待评,未进入30家初评队列
,,001299,美能能源,SZ,燃气Ⅱ,通过,周期边界复核排除,淘汰,周期边界复核：行业名称命中油气、燃气、建材、农化等周期关键词,9.83,27.89,2.75,30.88735288,-0.1,0.72,15.712,21.724,1.141209,18.302766,2.5694305802,0.08318714,0.0,45,18,63,一致,20260804135709,待评,未进入30家初评队列
,155,001332,锡装股份,SZ,专用设备,通过,保留,淘汰,综合得分未进入前30,30.95,13.11,1.84,47.875317,0.36,2.39,16.2,31.989348,1.04142,17.187729,6.3427003191999995,0.13248372,0.0,46,25,71,一致,20260804135709,待评,未进入30家初评队列
,286,001376,百通能源,SZ,电力,通过,保留,淘汰,综合得分未进入前30,11.36,30.73,4.25,52.35824,-0.7,5.86,15.031,26.466489,2.24582,13.361927,6.9228155935,0.13222017,0.0,49,15,64,一致,20260804135709,待评,未进入30家初评队列
,243,002003,伟星股份,SZ,纺织制造,通过,保留,淘汰,综合得分未进入前30,10.43,33.31,2.95,124.00119081,-1.51,0.89,15.455,40.343272,1.517816,13.497347,8.491285064400001,0.06847745,0.0,48,18,66,一致,20260804135709,待评,未进入30家初评队列
,287,002007,华兰生物,SZ,生物制品,通过,保留,淘汰,综合得分未进入前30,13.56,26.87,2.29,247.5636977,-0.88,0.5,16.288,64.673835,0.961621,30.336661,32.6150813164,0.1317442,0.0,46,18,64,一致,20260804135709,待评,未进入30家初评队列
,553,002008,大族激光,SZ,自动化设备,通过,保留,淘汰,综合得分未进入前30,88.52,35.43,4.25,911.40493676,9.0,4.28,13.328,34.137952,0.95082,9.969733,7.0878994308,0.00777689,0.0,34,11,45,一致,20260804135709,待评,未进入30家初评队列
,191,002014,永新股份,SZ,包装印刷,通过,保留,淘汰,综合得分未进入前30,10.85,18.31,2.77,66.45536746,-2.25,0.7,15.576,23.177215,1.093647,11.050068,11.7072328184,0.17616685,0.0,47,22,69,一致,20260804135709,待评,未进入30家初评队列
,195,002020,京新药业,SZ,化学制药,通过,保留,淘汰,综合得分未进入前30,13.78,17.96,2.04,118.64981549,0.8,1.51,12.426,51.888144,1.046747,15.583868,16.34169485,0.13773047,0.0,44,25,69,一致,20260804135706,待评,未进入30家初评队列
6,6,002027,分众传媒,SZ,广告营销,通过,保留,入选30家,综合得分靠前，且满足估值可比门槛与行业分散上限,5.31,10.71,6.04,766.88080545,-0.56,1.09,34.978,65.893699,1.861697,35.828833,367.2422180825,0.47887783,0.0,60,22,82,一致,20260804135709,4/5,核心楼宇媒体点位网络和规模化销售系统
,548,002028,思源电气,SZ,电网设备,通过,保留,淘汰,综合得分未进入前30,156.79,41.26,7.45,1226.99664885,-0.2,1.62,13.55,29.665048,0.910537,10.680337,49.4697958441,0.04031779,0.0,38,8,46,一致,20260804135709,待评,未进入30家初评队列
,,002030,达安基因,SZ,医疗器械,豁免B通过,保留,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,5.57,-19.91,1.11,78.17194398,0.72,1.05,20.569,53.60437,1.676189,-3.236611,57.1175492482,0.73066559,0.0,51,12,63,一致,20260804135709,待评,未进入30家初评队列
,226,002032,苏 泊 尔,SZ,小家电,通过,保留,淘汰,综合得分未进入前30,42.34,19.52,6.71,338.65570925,-0.75,0.19,29.758,24.716265,1.185847,9.579339,115.3392720247,0.34057974,0.0,51,16,67,一致,20260804135706,待评,未进入30家初评队列
21,21,002034,旺能环境,SZ,环境治理,通过,保留,入选30家,综合得分靠前，且满足估值可比门槛与行业分散上限,14.5,9.31,0.89,74.92167444,-0.34,1.04,10.196,38.255299,2.280277,23.170396,19.4641618451,0.25979347,0.0,50,30,80,一致,20260804135700,3/5,固废处理项目资质、特许经营和运营经验
10,10,002035,华帝股份,SZ,厨卫电器,通过,保留,入选30家,综合得分靠前，且满足估值可比门槛与行业分散上限,4.88,10.23,1.1,41.36549656,-1.41,0.8,15.942,40.924405,2.132438,7.609461,19.4326819516,0.46977998,0.0,52,30,82,一致,20260804135709,3/5,厨卫品牌、渠道覆盖和产品迭代
,89,002039,黔源电力,SZ,电力,通过,保留,淘汰,综合得分未进入前30,19.97,23.92,1.95,85.38335776,-1.87,1.3,10.76,53.549808,5.307625,13.631067,67.6200801722,0.79195855,0.0,52,22,74,一致,20260804135709,待评,未进入30家初评队列
,,002043,兔 宝 宝,SZ,装修建材,通过,周期边界复核排除,淘汰,周期边界复核：行业名称命中油气、燃气、建材、农化等周期关键词,12.88,18.05,3.35,106.87237702,-4.31,1.45,22.394,17.976686,1.854456,7.541822,48.565206546599995,0.45442244,0.0,51,19,70,一致,20260804135709,待评,未进入30家初评队列
,440,002049,紫光国微,SZ,半导体,通过,保留,淘汰,综合得分未进入前30,65.52,41.32,4.04,552.48670452,2.22,2.01,16.468,59.132097,0.748537,24.13862,52.452824036,0.09493952,0.0,44,11,55,一致,20260804135709,待评,未进入30家初评队列
,530,002050,三花智控,SZ,家电零部件Ⅱ,通过,保留,淘汰,综合得分未进入前30,38.8,44.0,5.19,1632.70940678,1.31,1.35,17.279,27.124669,1.167194,12.108511,31.6503384702,0.01938516,0.0,40,8,48,一致,20260804135709,待评,未进入30家初评队列
,248,002056,横店东磁,SZ,光伏设备,通过,保留,淘汰,综合得分未进入前30,20.82,21.94,3.37,338.68145381,3.63,1.31,17.216,18.821532,1.74187,9.740051,80.7766055764,0.23850319,0.0,47,19,66,一致,20260804135709,待评,未进入30家初评队列
