selection_rank,global_rank,code,name,exchange,industry,original_scope,result,secondary_scope,decision,decision_reason,price,pe_ttm,pb,market_cap_yi,change_pct,turnover_pct,roe_avg_10,gross_margin_avg_5,ocf_ni_avg_5,net_margin_avg_10,fcf_5_total_yi,fcf_to_market_cap_5y,share_inflation_5,debt_ratio,debt_limit,debt_gate,quality_score,quality_score_basis,valuation_score,composite_score,price_cross_check,quote_timestamp,moat_rating,moat_basis,moat_status
,,000910,大亚圣象,SZ,家居用品,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,5.23,-7.4,0.44,28.62888925,-0.76,0.81,11.224,25.583472,1.445407,6.658438,17.6566799573,0.61674345,0.0,27.837220301,60,通过,46,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,12,58,一致,20260804150000,待评,未完成护城河初评,待核验
,,000913,钱江摩托,SZ,摩托车及其他,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,11.94,-40.37,1.25,62.8534734,-1.73,1.3,10.515,26.405885,1.182665,8.352959,4.525141769599999,0.07199509,0.0,45.8584845464,60,通过,38,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,12,50,一致,20260804150000,待评,未完成护城河初评,待核验
,73,000915,华特达因,SZ,化学制药,保留,通过,普通行业,淘汰,综合得分未进入前50,25.69,13.61,2.41,60.1997585,-1.38,1.23,14.685,80.563872,2.088984,17.539875,49.754820206000005,0.82649535,0.0,12.9537179427,60,通过,52,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,25,77,一致,20260804150000,待评,未完成护城河初评,待核验
,400,000920,沃顿科技,SZ,塑料,保留,通过,普通行业,淘汰,综合得分未进入前50,11.13,29.82,2.72,52.60273043,2.77,2.06,10.436,36.331355,1.575082,9.550435,8.8460320935,0.16816679,0.0,26.1950288415,60,通过,47,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,18,65,一致,20260804150000,待评,未完成护城河初评,待核验
,,000923,河钢资源,SZ,冶钢原料,保留,通过,普通行业,淘汰,当前 PE/PB 缺失、为负或超出本轮可比估值上限,14.51,104.66,0.98,94.71097224,-0.07,1.65,8.366,64.509351,1.791506,10.755366,22.473718752699998,0.23728738,0.0,25.9847556989,60,通过,48,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,12,60,一致,20260804150000,待评,未完成护城河初评,待核验
15,15,000933,神火股份,SZ,工业金属,周期,通过,周期行业（本次保留）,入选50家,综合得分靠前，且满足 PE/PB 可比、普通行业负债率门槛与行业分散上限,25.69,6.04,2.09,577.7692301,1.26,2.27,22.126,27.581753,2.243077,7.853664,476.1918934135,0.82419047,0.0,42.1880405664,60,通过,53,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,28,81,一致,20260804150000,待评,未完成护城河初评,待核验
,704,000935,四川双马,SZ,多元金融,金融,金融特殊口径通过,金融行业（特殊口径）,淘汰,综合得分未进入前50,22.15,71.9,2.16,169.10203376,4.04,0.68,12.387,45.076296,0.767169,43.045387,16.3089579425,0.09644448,0.0,19.3482651015,,金融特殊口径,41.33,金融特殊口径：ROE 40分、股本稳定性20分,10,51.33,一致,20260804150000,待评,未完成护城河初评,待核验
,447,000937,冀中能源,SZ,煤炭开采,周期,通过,周期行业（本次保留）,淘汰,行业分散上限：同一细分行业最多入选3家,4.67,40.74,0.96,181.51830168,-1.68,0.49,8.553,31.247648,1.850966,7.027237,91.1814544098,0.50232651,0.0,59.5350320252,60,通过,47,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,16,63,一致,20260804150000,待评,未完成护城河初评,待核验
,157,000963,华东医药,SZ,化学制药,保留,通过,普通行业,淘汰,综合得分未进入前50,28.49,12.46,2.02,499.639628,-0.28,1.17,18.945,32.111667,1.205039,7.227955,105.54089310479999,0.21123403,0.0,35.5218447125,60,通过,48,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,25,73,一致,20260804150000,待评,未完成护城河初评,待核验
29,30,000968,蓝焰控股,SZ,油气开采Ⅱ,保留,通过,普通行业,入选50家,综合得分靠前，且满足 PE/PB 可比、普通行业负债率门槛与行业分散上限,7.04,11.53,1.07,68.11218726,0.57,2.45,11.097,35.201008,2.371231,21.939979,11.225152870399999,0.16480388,0.0,43.3983641174,60,通过,50,普通行业：ROE、现金流、FCF、市值稳定性、毛利率和净利率,30,80,一致,20260804150000,待评,未完成护城河初评,待核验
