代码,简称,公告标题,公告时间,公告链接
002028,思源电气,北京大成（上海）律师事务所关于公司2023年股票期权激励计划调整、行权价格调整及第二个行权期行权条件成就的法律意见书,2025-07-09 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224103463&orgId=gssz0002028&announcementTime=2025-07-09 00:00:00
002028,思源电气,独立董事关于公司第八届董事会第二十一次会议相关事项的独立意见,2025-07-09 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224103462&orgId=gssz0002028&announcementTime=2025-07-09 00:00:00
002028,思源电气,第八届监事会第十四次会议决议公告,2025-07-09 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224103461&orgId=gssz0002028&announcementTime=2025-07-09 00:00:00
002028,思源电气,回购报告书,2025-07-02 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1224057705&orgId=gssz0002028&announcementTime=2025-07-02 00:00:00
002028,思源电气,2024年度权益分派实施公告,2025-06-27 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223999996&orgId=gssz0002028&announcementTime=2025-06-27 00:00:00
002028,思源电气,关于回购股份用于注销并减少注册资本暨通知债权人的公告,2025-06-18 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223900068&orgId=gssz0002028&announcementTime=2025-06-18 00:00:00
002028,思源电气,2024年度股东大会决议公告,2025-06-14 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223877769&orgId=gssz0002028&announcementTime=2025-06-14 00:00:00
002028,思源电气,北京大成（上海）律师事务所关于思源电气股份有限公司2024年度股东大会的法律意见书,2025-06-14 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223877768&orgId=gssz0002028&announcementTime=2025-06-14 00:00:00
002028,思源电气,关于回购股份事项前十名股东和前十名无限售条件股东持股情况的公告,2025-06-10 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223824630&orgId=gssz0002028&announcementTime=2025-06-10 00:00:00
002028,思源电气,关于回购股份事项前十名股东和前十名无限售条件股东持股情况的公告,2025-05-24 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223647282&orgId=gssz0002028&announcementTime=2025-05-24 00:00:00
002028,思源电气,第八届监事会第十三次会议决议公告,2025-05-17 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223573139&orgId=gssz0002028&announcementTime=2025-05-17 00:00:00
002028,思源电气,关于向全资子公司上海思源高压划转股权的公告,2025-05-17 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223573138&orgId=gssz0002028&announcementTime=2025-05-17 00:00:00
002028,思源电气,关于修订《公司章程》的公告,2025-05-17 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223573137&orgId=gssz0002028&announcementTime=2025-05-17 00:00:00
002028,思源电气,关于回购公司股份方案的公告,2025-05-17 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223573136&orgId=gssz0002028&announcementTime=2025-05-17 00:00:00
002028,思源电气,第八届董事会第二十次会议决议公告,2025-05-17 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223573135&orgId=gssz0002028&announcementTime=2025-05-17 00:00:00
002028,思源电气,关于公司第八届董事会第二十次会议相关事项的独立意见,2025-05-17 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223573134&orgId=gssz0002028&announcementTime=2025-05-17 00:00:00
002028,思源电气,思源电气股份有限公司2024年度股东大会会议资料,2025-05-17 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223573133&orgId=gssz0002028&announcementTime=2025-05-17 00:00:00
002028,思源电气,关于为控股子公司银行融资提供担保的公告,2025-05-17 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223573132&orgId=gssz0002028&announcementTime=2025-05-17 00:00:00
002028,思源电气,关于召开2024年度股东大会的通知,2025-05-17 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223573131&orgId=gssz0002028&announcementTime=2025-05-17 00:00:00
002028,思源电气,监事会决议公告,2025-04-26 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223332311&orgId=gssz0002028&announcementTime=2025-04-26 00:00:00
002028,思源电气,董事会决议公告,2025-04-26 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223332310&orgId=gssz0002028&announcementTime=2025-04-26 00:00:00
002028,思源电气,2025年一季度报告,2025-04-26 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223332309&orgId=gssz0002028&announcementTime=2025-04-26 00:00:00
002028,思源电气,董事会对独立董事独立性评估的专项意见,2025-04-19 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223145421&orgId=gssz0002028&announcementTime=2025-04-19 00:00:00
002028,思源电气,2024年年度报告摘要,2025-04-19 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223145418&orgId=gssz0002028&announcementTime=2025-04-19 00:00:00
002028,思源电气,董事会决议公告,2025-04-19 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223145415&orgId=gssz0002028&announcementTime=2025-04-19 00:00:00
002028,思源电气,关于2024年度计提资产减值准备及资产核销的公告,2025-04-19 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223145412&orgId=gssz0002028&announcementTime=2025-04-19 00:00:00
002028,思源电气,独立董事关于公司第八届董事会第十八次会议相关事项的专项说明和独立意见,2025-04-19 00:00:00,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002028&announcementId=1223145409&orgId=gssz0002028&announcementTime=2025-04-19 00:00:00
