编号,股东名称,持股数量,持股比例,股本性质,截至日期,公告日期,股东说明,股东总数,平均持股数
10,全国社会保障基金理事会转持三户,9600000.0,1.16,限售流通股,2011-06-30,2011-08-05,,33243.0,24981.0
11,"MULTI YIELD PLUS CO.,LTD.",9600000.0,1.16,限售流通股,2011-06-30,2011-08-05,,33243.0,24981.0
1,"BIGGERING(BVI) HOLDINGS CO.,LTD.",189729557.0,27.42,限售流通股,2010-12-31,2011-03-11,,34616.0,19992.0
2,"WUS GROUP HOLDINGS CO.,LTD.",165247580.0,23.88,限售流通股,2010-12-31,2011-03-11,,34616.0,19992.0
3,中新苏州工业园区创业投资有限公司,84986367.0,12.28,限售流通股,2010-12-31,2011-03-11,,34616.0,19992.0
4,"HDF CO.,LTD.",39700000.0,5.74,限售流通股,2010-12-31,2011-03-11,,34616.0,19992.0
5,HAPPY UNION INVESTMENT LIMITED,36721820.0,5.31,限售流通股,2010-12-31,2011-03-11,,34616.0,19992.0
6,杜昆电子材料(昆山)有限公司,18360910.0,2.65,限售流通股,2010-12-31,2011-03-11,,34616.0,19992.0
7,深圳中科汇商创业投资有限公司,18360910.0,2.65,限售流通股,2010-12-31,2011-03-11,,34616.0,19992.0
8,昆山经济技术开发区资产经营有限公司,14730971.0,2.13,限售流通股,2010-12-31,2011-03-11,,34616.0,19992.0
9,湖南中科岳麓创业投资有限公司,10240606.0,1.48,限售流通股,2010-12-31,2011-03-11,,34616.0,19992.0
10,全国社会保障基金理事会转持三户,8000000.0,1.16,限售流通股,2010-12-31,2011-03-11,,34616.0,19992.0
11,"MULTI YIELD PLUS CO.,LTD.",8000000.0,1.16,限售流通股,2010-12-31,2011-03-11,,34616.0,19992.0
1,碧景（英属维尔京群岛）控股有限公司,189729557.0,27.42,限售流通股,2010-08-17,2010-08-17,,100046.0,6916.0
2,沪士集团控股有限公司,165247580.0,23.88,限售流通股,2010-08-17,2010-08-17,,100046.0,6916.0
3,中新苏州工业园区创业投资有限公司,84986367.0,12.28,限售流通股,2010-08-17,2010-08-17,,100046.0,6916.0
4,萨摩亚HDF CO.，LTD,39700000.0,5.74,限售流通股,2010-08-17,2010-08-17,,100046.0,6916.0
5,合拍友联有限公司,36721820.0,5.31,限售流通股,2010-08-17,2010-08-17,,100046.0,6916.0
6,深圳中科汇商创业投资有限公司,18360910.0,2.65,限售流通股,2010-08-17,2010-08-17,,100046.0,6916.0
7,杜昆电子材料（昆山）有限公司,18360910.0,2.65,限售流通股,2010-08-17,2010-08-17,,100046.0,6916.0
8,昆山经济技术开发区资产经营有限公司,14730971.0,2.13,限售流通股,2010-08-17,2010-08-17,,100046.0,6916.0
9,湖南中科岳麓创业投资有限公司,10240606.0,1.48,限售流通股,2010-08-17,2010-08-17,,100046.0,6916.0
10,全国社会保障基金理事会转持三户,8000000.0,1.16,限售流通股,2010-08-17,2010-08-17,,100046.0,6916.0
11,英属维尔京群岛MULTI YIELD PLUS CO.，LTD,8000000.0,1.16,限售流通股,2010-08-17,2010-08-17,,100046.0,6916.0
1,碧景（英属维尔京群岛）控股有限公司,189729557.0,31.0,限售流通股,2010-08-04,2010-04-22,,,
2,沪士集团控股有限公司,165247580.0,27.0,限售流通股,2010-08-04,2010-04-22,,,
3,中新苏州工业园区创业投资有限公司,91804549.0,15.0,限售流通股,2010-08-04,2010-04-22,,,
4,萨摩亚HDF CO.，LTD,39700000.0,6.49,限售流通股,2010-08-04,2010-04-22,,,
5,合拍友联有限公司,36721820.0,6.0,限售流通股,2010-08-04,2010-04-22,,,
6,深圳中科汇商创业投资有限公司,18360910.0,3.0,限售流通股,2010-08-04,2010-04-22,,,
7,杜昆电子材料（昆山）有限公司,18360910.0,3.0,限售流通股,2010-08-04,2010-04-22,,,
8,昆山经济技术开发区资产经营有限公司,15912789.0,2.6,限售流通股,2010-08-04,2010-04-22,,,
9,湖南中科岳麓创业投资有限公司,10240606.0,1.67,限售流通股,2010-08-04,2010-04-22,,,
10,英属维尔京群岛MULTI YIELD PLUS CO.，LTD,8000000.0,1.31,限售流通股,2010-08-04,2010-04-22,,,
