board_code,board_name,pe,pb,market_cap_yi,turnover_yi,change_pct
BK1512,生猪养殖,167.18,,4414.63,87.16,4.78
BK1248,专业工程,29.61,,4405.17,113.79,-2.14
BK1032,风电设备,65.79,,4269.62,133.28,-2.79
BK1604,医疗耗材,44.69,,4261.11,86.0,-0.23
BK1394,轨交设备Ⅲ,19.64,,4246.29,52.25,-1.6
BK1236,轨交设备Ⅱ,19.64,,4246.29,52.25,-1.6
BK1301,游戏Ⅲ,24.27,,4209.17,120.71,0.4
BK1046,游戏Ⅱ,24.27,,4209.17,120.71,0.4
BK1593,通信终端及配件,73.75,,4202.44,133.94,-1.0
BK1455,家电零部件Ⅲ,44.58,,4183.43,199.72,-0.99
BK1242,家电零部件Ⅱ,44.58,,4183.43,199.72,-0.99
BK1282,饮料乳品,20.81,,4175.91,45.07,1.03
BK0482,一般零售,-16.25,,4138.58,60.34,-0.58
BK1409,激光设备,145.66,,4086.21,198.79,-3.58
BK1424,氟化工,41.24,,3981.17,325.69,-5.79
BK1621,锂,50.03,,3966.28,186.95,-0.06
BK1520,综合乘用车,28.72,,3844.0,22.41,-0.15
BK1312,线缆部件及其他,66.79,,3788.89,175.12,-3.18
BK1485,铁路运输,17.19,,3744.52,19.28,-0.61
BK1483,高速公路,14.56,,3667.36,12.86,1.72
BK1528,其他汽车零部件,51.69,,3593.71,136.33,-2.05
BK1410,其他自动化设备,128.42,,3478.31,108.47,-2.91
BK1315,光伏电池组件,-13.59,,3469.99,106.73,-4.41
BK1625,钨,57.61,,3455.01,197.11,-8.28
BK1595,原料药,66.16,,3420.25,133.89,0.55
BK1576,调味发酵品Ⅲ,27.43,,3389.79,38.89,0.44
BK1278,调味发酵品Ⅱ,27.43,,3389.79,38.89,0.44
BK1434,钾肥,18.44,,3359.22,55.28,1.41
BK1225,服装家纺,38.65,,3276.75,64.6,-1.03
BK1389,固废治理,23.66,,3269.41,84.75,-0.53
BK1408,机器人,-1868.71,,3069.26,341.38,-3.04
BK1333,LED,-181.71,,3049.35,162.81,-2.87
BK1626,稀土,71.97,,3041.71,117.34,-5.76
BK1042,医药商业,16.19,,2953.15,35.62,1.1
BK0471,化学纤维,52.38,,2885.66,74.31,-1.74
BK1390,水务及水治理,24.52,,2824.08,59.81,0.42
BK1307,电机Ⅲ,60.75,,2796.71,144.62,-3.59
BK1030,电机Ⅱ,60.75,,2796.71,144.62,-3.59
BK1489,快递,14.57,,2794.89,24.99,2.49
BK1619,其他金属新材料,129.91,,2778.5,122.69,-4.73
BK1439,膜材料,216.14,,2763.14,116.44,-3.91
BK1220,广告营销,99.9,,2737.99,143.31,-3.08
BK1589,通信应用增值服务,70.0,,2725.01,95.12,-3.43
BK1381,燃气Ⅲ,22.01,,2703.6,45.03,-0.53
BK1028,燃气Ⅱ,22.01,,2703.6,45.03,-0.53
BK0424,水泥,101.11,,2695.76,30.9,0.08
BK1264,商用车,27.71,,2687.77,42.89,0.45
BK1337,品牌消费电子,33.58,,2683.07,30.63,-2.08
BK1265,包装印刷,62.53,,2663.67,69.84,-1.42
BK1317,光伏加工设备,54.83,,2652.67,92.99,-5.29
BK1477,其他专业工程,108.81,,2626.93,85.53,-2.69
BK1256,农产品加工,42.58,,2626.89,23.16,-0.7
BK1313,风电零部件,96.76,,2567.93,79.61,-2.7
BK1426,聚氨酯,18.68,,2566.14,46.08,-1.34
BK1470,房屋建设Ⅲ,7.14,,2565.37,18.62,0.32
BK1246,房屋建设Ⅱ,7.14,,2565.37,18.62,0.32
BK1035,美容护理,32.73,,2542.59,36.41,-0.21
BK0476,装修建材,81.93,,2527.78,53.46,-1.34
BK1614,铅锌,30.03,,2504.52,131.38,-2.31
BK1612,农商行Ⅲ,5.64,,2471.76,17.96,2.53
BK1429,食品及饲料添加剂,18.92,,2445.86,31.41,0.63
BK1527,轮胎轮毂,17.02,,2410.98,40.36,-0.18
BK1464,水泥制造,64.47,,2403.19,23.98,-0.11
BK1359,金融控股,18.86,,2395.33,15.73,-0.19
BK1603,体外诊断,78.68,,2370.37,54.19,-0.17
BK1585,乳品,18.86,,2354.06,28.78,1.5
BK1471,工程咨询服务Ⅲ,55.79,,2344.49,144.65,-1.15
BK0726,工程咨询服务Ⅱ,55.79,,2344.49,144.65,-1.15
BK1043,专业服务,34.89,,2315.41,48.78,-1.52
BK1449,冰洗,30.09,,2304.0,18.53,-0.43
BK1218,出版,17.17,,2295.87,21.61,0.45
BK1392,工程机械器件,57.66,,2287.07,41.5,-3.42
BK1419,煤化工,16.4,,2284.17,35.31,1.26
BK1352,非运动服装,32.69,,2246.67,32.24,-0.69
BK1280,食品加工,32.61,,2243.63,31.06,0.78
BK1618,磁性材料,68.26,,2236.7,109.61,-5.07
BK1607,医药流通,15.7,,2200.45,26.32,1.14
BK1263,摩托车及其他,26.03,,2199.86,39.15,0.41
BK1310,配电设备,26.58,,2159.3,51.48,-2.67
BK1400,制冷空调设备,69.77,,2154.2,99.73,0.08
BK1373,电能综合服务,23.27,,2131.39,23.61,-0.42
BK1436,农药,36.78,,2126.18,44.51,0.25
BK1323,综合电力设备商,37.81,,2101.13,31.78,1.06
BK1275,油服工程,19.61,,2090.87,20.81,-0.82
BK1435,磷肥及磷化工,26.29,,2089.01,65.49,1.33
BK1627,综合Ⅲ,-103.72,,2057.71,46.81,-0.46
BK1217,综合,-103.72,,2057.71,46.81,-0.46
BK0539,综合Ⅱ,-103.72,,2057.71,46.81,-0.46
BK1279,非白酒,21.22,,2056.29,16.72,0.44
