股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
002463,2019-12-31,按地区分类,内销,3713537629,0.520939,2711625177.0,0.539758,1001912452.0,0.476022,0.2698
002463,2019-12-31,按地区分类,外销,3171273861,0.44487,2078691813.0,0.41377,1092582048.0,0.5191,0.344525
002463,2019-12-31,按地区分类,其他(补充),180332271,0.025297,178333966.0,0.035498,1998305.0,0.000949,0.011081
002463,2019-12-31,按地区分类,平衡项目,63400821,0.008894,55132693.0,0.010974,8268128.0,0.003928,0.13041
002463,2019-06-30,按行业分类,PCB,2976205422,0.953326,2073258569.0,0.937962,902946853.0,0.990583,0.303389
002463,2019-06-30,按行业分类,其他(补充),88071922,0.028211,84913321.0,0.038416,3158601.0,0.003465,0.035864
002463,2019-06-30,按行业分类,其他主营业务,57640112,0.018463,52215067.0,0.023623,5425045.0,0.005952,0.094119
002463,2019-06-30,按产品分类,企业通讯市场板,2108513685,0.675391,1436927438.0,0.65008,671586247.0,0.736768,0.318512
002463,2019-06-30,按产品分类,汽车板,659205038,0.211154,495194825.0,0.224031,164010213.0,0.179928,0.2488
002463,2019-06-30,按产品分类,办公工业设备板,194827155,0.062406,130686336.0,0.059124,64140819.0,0.070366,0.329219
002463,2019-06-30,按产品分类,其他(补充),88071922,0.028211,84913321.0,0.038416,3158601.0,0.003465,0.035864
002463,2019-06-30,按产品分类,房屋销售收入,57278423,0.018347,51944647.0,0.0235,5333776.0,0.005851,0.09312
002463,2019-06-30,按产品分类,消费电子板,9829966,0.003149,7578170.0,0.003428,2251796.0,0.00247,0.229075
002463,2019-06-30,按产品分类,其他,3829578,0.001227,2871800.0,0.001299,957778.0,0.001051,0.2501
002463,2019-06-30,按产品分类,物业费收入,361689,0.000116,270420.0,0.000122,91269.0,0.0001,0.252341
002463,2019-06-30,按地区分类,外销,1637198492,0.524421,1088017270.0,0.492229,549181222.0,0.602483,0.33544
002463,2019-06-30,按地区分类,内销,1339006930,0.428905,985241299.0,0.445732,353765631.0,0.388101,0.2642
002463,2019-06-30,按地区分类,其他(补充),88071922,0.028211,84913321.0,0.038416,3158601.0,0.003465,0.035864
002463,2019-06-30,按地区分类,其他主营业务,57640112,0.018463,52215067.0,0.023623,5425045.0,0.005952,0.094119
002463,2018-12-31,按行业分类,PCB,5313548704,0.966647,4028703102.0,0.956884,1284845602.0,0.998593,0.241806
002463,2018-12-31,按行业分类,其他(补充),183336522,0.033353,181526338.0,0.043116,1810184.0,0.001407,0.009874
002463,2018-12-31,按产品分类,企业通讯市场板,3485186414,0.634029,2625856610.0,0.623685,859329804.0,0.667879,0.246566
002463,2018-12-31,按产品分类,汽车板,1281705249,0.233169,973967819.0,0.231334,307737430.0,0.239176,0.2401
002463,2018-12-31,按产品分类,办公工业设备板,515074773,0.093703,401706815.0,0.095412,113367958.0,0.088111,0.2201
002463,2018-12-31,按产品分类,其他(补充),183336522,0.033353,181526338.0,0.043116,1810184.0,0.001407,0.009874
002463,2018-12-31,按产品分类,消费电子板,22065958,0.004014,18930385.0,0.004496,3135573.0,0.002437,0.1421
002463,2018-12-31,按产品分类,其他,9516310,0.001731,8241473.0,0.001957,1274837.0,0.000991,0.133963
002463,2018-12-31,按地区分类,外销,3037534189,0.552592,2121131945.0,0.503804,916402244.0,0.712236,0.301693
002463,2018-12-31,按地区分类,内销,2276014515,0.414055,1907571157.0,0.45308,368443358.0,0.286357,0.161881
002463,2018-12-31,按地区分类,其他(补充),183336522,0.033353,181526338.0,0.043116,1810184.0,0.001407,0.009874
002463,2018-06-30,按行业分类,PCB,2377970167,0.965264,1847835992.0,0.956017,530134175.0,0.998942,0.222936
002463,2018-06-30,按行业分类,其他(补充),85573794,0.034736,85012453.0,0.043983,561341.0,0.001058,0.00656
002463,2018-06-30,按产品分类,企业通讯市场板,1543802357,0.626659,1202400869.0,0.622088,341401488.0,0.64331,0.221143
002463,2018-06-30,按产品分类,汽车板,677874212,0.275162,522304473.0,0.270225,155569739.0,0.293143,0.229496
002463,2018-06-30,按产品分类,办公工业设备板,143336092,0.058183,111830818.0,0.057858,31505274.0,0.059366,0.2198
002463,2018-06-30,按产品分类,其他(补充),85573794,0.034736,85012453.0,0.043983,561341.0,0.001058,0.00656
002463,2018-06-30,按产品分类,消费电子板,9924682,0.004029,8617602.0,0.004458,1307080.0,0.002463,0.1317
002463,2018-06-30,按产品分类,其他,3032824,0.001231,2682230.0,0.001388,350594.0,0.000661,0.1156
002463,2018-06-30,按地区分类,外销,1387100801,0.563051,1030648362.0,0.533228,356452439.0,0.67167,0.256977
002463,2018-06-30,按地区分类,内销,990869366,0.402213,817187630.0,0.422789,173681736.0,0.327272,0.175282
002463,2018-06-30,按地区分类,其他(补充),85573794,0.034736,85012453.0,0.043983,561341.0,0.001058,0.00656
002463,2017-12-31,按行业分类,PCB,4473757556,0.966934,3646623773.0,0.960476,827133783.0,0.996476,0.184886
002463,2017-12-31,按行业分类,其他(补充),152986740,0.033066,150061799.0,0.039524,2924941.0,0.003524,0.019119
002463,2017-12-31,按产品分类,企业通讯市场板,2903856294,0.627624,2393939129.0,0.630534,509917165.0,0.614315,0.1756
002463,2017-12-31,按产品分类,汽车板,1127892692,0.243777,879643511.0,0.231687,248249181.0,0.299074,0.2201
