每股指标,摊薄每股收益_最新股数,0.181903,0.791918,0.648261,0.411154,0.19118,0.685428,0.550982,0.350916,0.141613,0.60521,0.512456,0.320069,0.131627,0.401065,0.320318,0.20724,0.07375,0.465222,0.428847,0.334912,0.047662,0.322658,0.290104,0.234061,0.195742,0.168473,0.112087,0.072251,0.039632,0.183011,0.081991,0.045834,0.031125,0.341944,0.164096,0.109971,0.036511,0.264496,0.160382,0.103761,0.033766,0.226843,-9.7e-05,0.00256,0.002949,0.020502,0.011963,0.007183,0.002819,0.0207,0.015435,0.010061,0.003474,0.021264,0.020811,0.014276,0.006508,0.029916,0.025975,0.017832,0.006205,0.028574,0.025669,0.015468,0.007891,0.069255,0.054851,0.031887,0.013129,0.062936,0.047912,0.034789,0.012973,0.058969,0.037875,0.042047,0.045928
每股指标,摊薄每股净资产_期末股数,3.48285,3.506026,3.542108,3.530503,3.734262,3.532269,3.450058,3.530216,3.880465,3.737904,3.666154,3.749051,3.846446,3.719982,3.699271,3.819166,3.796389,3.751058,3.875793,3.796042,3.487389,3.430758,3.407587,3.408271,3.405161,3.165216,3.078141,3.029332,3.039415,3.003773,2.881364,2.839778,4.352352,4.300028,3.987172,3.892095,3.761913,3.698333,3.515491,3.415105,3.370679,3.310927,3.072235,3.086751,3.086672,3.122697,3.082235,3.059587,3.088912,3.075552,3.050819,3.025352,3.044145,3.027681,3.025325,2.994357,2.957553,3.854729,3.830454,3.780299,3.80868,3.770457,3.752561,3.68973,3.843053,3.794447,3.70572,3.564275,3.548727,3.467857,3.375312,1.669497,,1.38345,,55.606495,41.93162
每股指标,调整每股净资产_期末股数,3.100645,3.122727,3.183253,3.117244,3.315659,3.111106,3.026461,3.105193,3.454044,3.313979,3.247517,3.280262,3.387794,3.261627,3.247489,3.368144,3.333116,3.19478,3.317929,3.266476,2.968948,2.912943,2.880957,2.88151,2.932514,2.664801,2.579657,2.533019,2.558508,2.522845,2.448822,2.578456,3.973646,3.928137,3.598661,3.502252,3.396415,3.328218,3.140193,3.038949,2.997401,2.935107,2.638608,2.651665,2.648596,2.676158,2.630601,2.606086,2.634728,2.613442,2.589084,2.562475,2.579347,2.554099,2.550723,2.517934,2.479095,3.220995,3.196474,3.145879,3.164918,3.122081,3.106728,3.03567,3.183856,3.130481,3.045269,2.903231,2.885932,2.80142,2.712786,0.780544,,0.487129,,55.165148,41.753499
每股指标,每股净资产_最新股数,3.48285,3.506026,3.542108,3.530503,3.734262,3.532269,3.450058,3.530216,3.880465,3.737904,3.666154,3.749051,3.846446,3.719982,3.699271,3.819166,3.796389,3.177716,3.283386,3.215824,2.954348,2.906374,2.886744,2.887323,2.884689,2.681419,2.607653,2.566304,2.574846,2.544652,2.440953,2.405723,2.458069,2.428518,2.251827,2.198131,2.124608,2.0887,1.985437,1.928742,1.903652,1.869905,0.6484,0.651464,0.651447,0.65905,0.650511,0.645731,0.65192,0.6491,0.643881,0.638506,0.642472,0.638997,0.6385,0.631964,0.624197,0.625805,0.621864,0.613722,0.61833,0.612124,0.609219,0.599018,0.62391,0.616019,0.601614,0.578651,0.576127,0.562998,0.547973,0.203046,,0.168256,,0.186135,0.14036
每股指标,每股经营现金流,0.103063,0.673972,0.401853,0.354548,0.068572,0.992335,0.614813,0.547791,0.171188,0.693664,0.599875,0.51963,-0.025827,0.553767,0.377916,0.275114,0.093617,0.371031,0.359326,0.239242,0.052499,0.542349,0.355829,0.143236,0.048586,0.243786,9e-05,-0.044473,-0.134138,0.571349,0.171418,0.188017,0.059446,-0.511029,-0.917003,-0.842853,-0.208218,-0.258134,0.082903,0.096288,0.007303,0.207449,0.06476,0.058193,0.047901,0.076665,0.072172,0.071067,-0.049589,0.212081,0.173952,0.099713,0.046644,0.248548,0.115653,0.010087,-0.05396,0.131548,-0.009312,-0.096869,-0.11742,0.251987,-0.176918,-0.297571,-0.218244,0.443952,0.297754,0.30667,0.224434,0.29018,0.202289,0.164949,,0.616974,,9.434602,14.803189
每股指标,每股现金流量净额,-0.284887,0.068842,-0.181405,0.063176,-0.012015,0.12521,-0.119369,0.025023,0.133622,0.005312,0.022954,0.159006,-0.120393,0.369913,0.41734,0.318716,0.505714,0.321695,0.554176,-0.065557,0.094267,0.028275,0.027609,0.264587,0.225624,-0.09803,-0.096825,0.076175,-0.039002,-0.013098,0.172947,0.378085,-0.071459,0.278622,-0.31524,-0.247516,0.057449,-0.46863,-0.14261,-0.066489,-0.313234,0.888838,0.005036,0.002091,-0.007673,-0.180291,0.050906,0.020136,-0.02866,0.156176,0.088017,0.049254,0.057958,0.121347,0.012903,-0.047615,-0.087378,-0.672589,-0.804243,-0.729444,-0.546533,-0.452525,-0.376343,-0.527874,-0.268316,-0.295791,-0.392978,-0.239017,-0.04855,1.635608,1.712488,-0.060086,,-0.030822,,0.756942,8.205318
每股指标,每股企业自由现金流量,,0.611929,,0.506098,,0.92095,,0.471131,,0.517431,,0.328786,,0.108048,,-0.15271,,0.896087,,0.525801,,0.380588,,0.652296,,0.282492,,-0.008793,,-0.046583,,-0.431911,,0.06437,,0.022914,,0.077324,,0.075047,,-1.139036,,0.060722,,0.078904,,0.060252,,0.037713,,0.049694,,0.06347,,0.009185,,0.233819,,0.208555,,0.411905,,0.232065,,-0.042678,,-0.027869,,-2.12438,,-0.021197,,0.244743,,4.907613,-13.125691
每股指标,每股股东自由现金流量,,0.826878,,0.424961,,1.087609,,0.504605,,0.31882,,0.189312,,-0.005873,,-0.568471,,0.546022,,0.129424,,0.275466,,0.685309,,0.235354,,0.237489,,0.342008,,0.348183,,0.91533,,0.767919,,-0.021458,,-0.023735,,-1.119279,,0.060722,,0.078904,,0.060252,,0.037713,,0.049694,,0.06347,,0.009185,,0.07918,,0.105462,,0.566544,,0.335158,,-0.042678,,-0.027869,,-2.42816,,0.00449,,0.650247,,4.907613,-14.792357
每股指标,每股未分配利润,2.024105,2.052144,2.108432,2.07127,2.068352,1.877171,1.798725,1.868659,2.209356,2.067742,1.974988,2.052601,2.164159,2.032532,1.951785,2.098707,2.105217,2.397996,2.515897,2.403031,2.090954,2.034691,1.995917,1.979762,1.976529,1.74547,1.693998,1.646975,1.651471,1.604687,1.485441,1.44276,2.258095,2.202984,1.888078,1.792243,1.662172,1.597523,1.416239,1.315983,1.272049,1.21226,0.779614,0.792206,0.79405,0.830075,0.799328,0.77668,0.806005,0.792644,0.777508,0.752041,0.770833,0.754369,0.762301,0.731334,0.694529,0.912799,0.90695,0.856795,0.885177,0.846954,0.846659,0.783827,0.937151,0.888545,0.845913,0.704468,0.68892,0.608049,0.551725,0.628575,,0.342529,,41.437374,34.791877
每股指标,每股资本公积金,1.337693,1.318179,1.292705,1.411063,1.411063,1.411063,1.411063,1.411063,1.411063,1.411063,1.411063,1.411063,1.411063,1.411063,1.422433,1.422433,1.422433,1.210599,1.208413,1.240511,1.240511,1.240511,1.240511,1.240511,1.240511,1.240511,1.240774,1.240774,1.256968,1.256968,1.258082,1.258082,1.887123,1.887123,1.887123,1.887123,1.887123,1.887123,1.887123,1.887123,1.887123,1.887123,1.150818,1.150818,1.150818,1.150818,1.150818,1.150818,1.150818,1.150818,1.150818,1.150818,1.150818,1.150818,1.150818,1.150818,1.150818,1.796064,1.796064,1.796064,1.796064,1.796064,1.796064,1.796064,1.796064,1.796064,1.796064,1.796064,1.796064,1.796064,1.796064,0.004182,,0.004182,,5.773253,
