date,value
2024-04-22,5.25
2024-04-27,5.06
2024-05-02,5.24
2024-05-07,5.43
2024-05-12,5.59
2024-05-17,5.46
2024-05-22,5.5
2024-05-27,5.55
2024-06-01,5.54
2024-06-06,5.64
2024-06-11,5.58
2024-06-16,5.38
2024-06-21,5.45
2024-06-26,5.64
2024-07-01,5.72
2024-07-06,4.98
2024-07-11,4.83
2024-07-16,4.48
2024-07-21,4.52
2024-07-26,4.82
2024-07-31,5.08
2024-08-05,4.88
2024-08-10,5.43
2024-08-15,5.29
2024-08-20,5.14
2024-08-25,5.25
2024-08-30,5.25
2024-09-04,5.2
2024-09-09,5.01
2024-09-14,4.22
2024-09-19,4.32
2024-09-24,4.32
2024-09-29,4.71
2024-10-04,5.03
2024-10-09,4.76
2024-10-14,4.7
2024-10-19,4.55
2024-10-24,4.89
2024-10-29,4.73
2024-11-03,4.97
2024-11-08,5.44
2024-11-13,5.14
2024-11-18,4.94
2024-11-23,4.91
2024-11-28,4.95
2024-12-03,4.99
2024-12-08,5.03
2024-12-13,4.86
2024-12-18,4.96
2024-12-23,4.77
2024-12-28,4.95
2025-01-02,4.73
2025-01-07,4.77
2025-01-12,4.92
2025-01-17,4.93
2025-01-22,4.94
2025-01-27,4.87
2025-02-01,4.87
2025-02-06,4.81
2025-02-11,4.73
2025-02-16,4.65
2025-02-21,4.69
2025-02-26,4.55
2025-03-03,4.63
2025-03-08,4.62
2025-03-13,4.54
2025-03-18,4.6
2025-03-23,4.5
2025-03-28,4.43
2025-04-02,4.39
2025-04-07,3.88
2025-04-12,4.08
2025-04-17,3.91
2025-04-22,4.04
2025-04-27,4.07
2025-05-02,4.02
2025-05-07,4.09
2025-05-12,4.13
2025-05-17,4.14
2025-05-22,4.23
2025-05-27,4.09
2025-06-01,4.08
2025-06-06,4.19
2025-06-11,4.21
2025-06-16,4.34
2025-06-21,4.69
2025-06-26,4.51
2025-07-01,4.47
2025-07-06,4.54
2025-07-11,4.37
2025-07-16,4.61
2025-07-21,4.76
2025-07-26,4.75
2025-07-31,4.71
2025-08-05,4.79
2025-08-10,5.13
2025-08-15,5.81
2025-08-20,5.52
2025-08-25,5.46
2025-08-30,5.46
2025-09-04,5.21
2025-09-09,5.4
2025-09-14,5.3
2025-09-19,5.59
